"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","186/3131","492/18986",0.378048780487805,2.29244143926588,12.9074874174927,8.71318725047337e-31,5.39607686421816e-27,4.54369785672053e-27,"TAF12-DT/PTGES3/IMP3/NOL3/RPL7/GTF3A/NPM1/DDX3X/RAN/PIN4/WDR12/RPL27/RPS27L/NIP7/LUC7L2/XPO1/SRSF10/TRMT61B/RPL35A/METTL5/U2AF2/RPS23/DDX42/ERI1/NOP58/NGRN/NOP2/BRIX1/TMA16/RPS6/DCAF13/RPS12/SNRPE/XRCC5/RPS14/RPS5/RPS11/WDR74/RRP15/HSP90AA1/RPP25/NHP2/EIF6/MYBBP1A/SRSF1/RPS3A/NAF1/SNRPF/MPHOSPH10/RSL24D1/RPS13/RIOK1/C1QBP/LUC7L3/WDR43/EIF5/DDX1/HSP90AB1/WDR75/USP39/UTP18/DDX47/HTATSF1/DIMT1/EIF3E/NOL7/RPL38/SART3/NSA2/METTL16/GEMIN8/CUL4B/RPL35/EIF3M/SF3B1/ISG20/EIF1AX/RPS17/EIF3F/UTP14A/RPS16/SNU13/UTP11/SNRPB2/TENT4B/SFSWAP/RPS15A/NUFIP1/RPS24/NOB1/FTSJ3/SNRPD1/ESF1/DDX21/DHX9/EIF2S3/MAK16/HEATR1/RPL5/WDR36/PA2G4/SCAF11/EIF3K/COIL/DENR/DHX37/BOP1/UTP6/EIF3A/DDX31/UTP25/RPL13A/RPF2/ERI3/DKC1/NOLC1/SF3B3/PRPF6/PDCD11/DDX56/ATR/NOM1/EIF3D/DICER1/PWP1/FBL/MTREX/MRPS2/UTP20/NAT10/PRPF3/AGO2/NOL10/RPS19/CLP1/ADAR/RUVBL1/RCL1/CELF1/NOL11/PNO1/XRN2/NOL6/MTERF4/DDX54/RRP1/GEMIN5/DDX23/EXOSC5/MDN1/DDX18/BUD23/GEMIN4/CUL4A/YJU2/TARBP2/RIOX2/SETX/NOP56/GNL3L/TSR1/POP4/DDX51/WDR55/RRP8/USP36/ZNF658/SNRPB/REXO4/LTO1/EXOSC2/GRWD1/NOPCHAP1/RRP7A/PPAN/SURF6/EMG1/KRI1/PES1/TXNL4A/NUP88/EIF4A3/LUC7L/NOP53/RNU6-1/CELF6",186
"GO:0042254","ribosome biogenesis","130/3131","317/18986",0.410094637223975,2.48676358426521,11.8624591496851,1.21831459288864e-25,3.77251113687967e-22,3.17659499640543e-22,"IMP3/RPL7/GTF3A/NPM1/DDX3X/RAN/PIN4/WDR12/RPL27/RPS27L/NIP7/XPO1/TRMT61B/RPL35A/METTL5/RPS23/ERI1/NOP58/NGRN/NOP2/BRIX1/TMA16/RPS6/DCAF13/RPS12/XRCC5/RPS14/RPS5/RPS11/WDR74/RRP15/RPP25/NHP2/EIF6/MYBBP1A/RPS3A/NAF1/MPHOSPH10/RSL24D1/RPS13/RIOK1/C1QBP/WDR43/EIF5/WDR75/UTP18/DDX47/DIMT1/NOL7/RPL38/NSA2/METTL16/CUL4B/RPL35/ISG20/EIF1AX/RPS17/UTP14A/RPS16/SNU13/UTP11/TENT4B/RPS15A/RPS24/NOB1/FTSJ3/ESF1/DDX21/MAK16/HEATR1/RPL5/WDR36/PA2G4/DHX37/BOP1/UTP6/DDX31/UTP25/RPF2/ERI3/DKC1/NOLC1/PDCD11/DDX56/NOM1/PWP1/FBL/MTREX/MRPS2/UTP20/NAT10/NOL10/RPS19/RCL1/NOL11/PNO1/XRN2/NOL6/MTERF4/DDX54/RRP1/EXOSC5/MDN1/DDX18/BUD23/GEMIN4/CUL4A/RIOX2/NOP56/GNL3L/TSR1/POP4/DDX51/WDR55/RRP8/USP36/ZNF658/REXO4/LTO1/EXOSC2/GRWD1/RRP7A/PPAN/SURF6/EMG1/KRI1/PES1/NUP88/EIF4A3/NOP53",130
"GO:0016072","rRNA metabolic process","109/3131","268/18986",0.406716417910448,2.46627847666808,10.7428088079589,2.29624840078432e-21,4.74022211535243e-18,3.99144371139843e-18,"IMP3/RPL7/GTF3A/SPIN1/PIN4/WDR12/RPL27/TRMT61B/RPL35A/METTL5/ERI1/NOP58/NOP2/BRIX1/RPS6/GTF3C6/DCAF13/RPS14/WDR74/RRP15/RPP25/NHP2/EIF6/NAF1/MPHOSPH10/RIOK1/WDR43/NCL/WDR75/UTP18/DDX47/DIMT1/POLR1F/NOL7/NSA2/METTL16/POLR1B/RPL35/ISG20/RPS17/GTF3C3/ANG/UTP14A/RPS16/SNU13/UTP11/TAF1B/TENT4B/RPS24/NOB1/SMARCA4/FTSJ3/ESF1/DDX21/XRN1/MAK16/HEATR1/RPL5/WDR36/PA2G4/TCOF1/DHX37/BOP1/UTP6/UTP25/DEDD2/RPF2/ERI3/DKC1/NOLC1/PDCD11/DDX56/PWP1/FBL/MTREX/UTP20/NAT10/BRF1/NOL10/RPS19/RCL1/NOL11/XRN2/NOL6/MTERF4/DDX54/RRP1/POLR1E/DDX11/EXOSC5/DDX18/BUD23/GEMIN4/NOP56/TSR1/POP4/DDX51/WDR55/RRP8/USP36/REXO4/EXOSC2/RRP7A/PPAN/EMG1/KRI1/PES1/EIF4A3/NOP53",109
"GO:0002181","cytoplasmic translation","78/3131","165/18986",0.472727272727273,2.86656020440754,10.7010486486062,2.41990830402621e-20,3.74662303170857e-17,3.15479624688048e-17,"RPL41/RPL27A/RPL7/PABPC1/RPLP1/FTSJ1/RPL21/RPL27/PAIP1/RPL37/RPL23A/RPL35A/RPL6/RPL22/HNRNPU/HNRNPD/RPS23/RPL22L1/IMPACT/YBX3/RWDD1/RPS6/RPL30/RPS12/RPL8/RPL36/SYNCRIP/RPS14/RBM4/RPS5/RPS11/RPS29/RPS3A/RPL12/RPL10A/RPS13/PKM/EIF4A1/METTL3/EIF5/RPL19/EIF3E/NCBP2/RPL38/RPL35/EIF3M/RPS17/EIF3F/RPS16/DHX36/RPS15A/ETF1/RPS2/RPS24/RPL10/RPL29/EIF2B1/DHX9/EIF2S3/RPL32/RPL5/RACK1/EIF3K/RPL31/DENR/EIF2B4/EIF3A/RPL13A/EIF4G1/RPS3/DRG2/AKT2/EIF3D/RPS19/UBA52/YBX1/RPL18A/PARP16",78
"GO:0006364","rRNA processing","93/3131","225/18986",0.413333333333333,2.50640264026403,10.1010854932096,5.49027339304405e-19,6.80025262462437e-16,5.72606618718742e-16,"IMP3/RPL7/PIN4/WDR12/RPL27/TRMT61B/RPL35A/METTL5/ERI1/NOP58/NOP2/BRIX1/RPS6/DCAF13/RPS14/WDR74/RRP15/RPP25/NHP2/EIF6/NAF1/MPHOSPH10/RIOK1/WDR43/WDR75/UTP18/DDX47/DIMT1/NOL7/NSA2/METTL16/RPL35/ISG20/RPS17/UTP14A/RPS16/SNU13/UTP11/TENT4B/RPS24/NOB1/FTSJ3/ESF1/DDX21/MAK16/HEATR1/RPL5/WDR36/PA2G4/DHX37/BOP1/UTP6/UTP25/RPF2/ERI3/DKC1/NOLC1/PDCD11/DDX56/PWP1/FBL/MTREX/UTP20/NAT10/NOL10/RPS19/RCL1/NOL11/XRN2/NOL6/MTERF4/DDX54/RRP1/EXOSC5/DDX18/BUD23/GEMIN4/NOP56/TSR1/POP4/DDX51/WDR55/RRP8/USP36/REXO4/EXOSC2/RRP7A/PPAN/EMG1/KRI1/PES1/EIF4A3/NOP53",93
"GO:0042274","ribosomal small subunit biogenesis","49/3131","108/18986",0.453703703703704,2.75120361498515,8.1102500312366,1.80810425701506e-12,1.86626494394904e-09,1.5714646472373e-09,"IMP3/NPM1/RPS27L/RPS23/NOP58/RPS6/DCAF13/RPS12/XRCC5/RPS14/RPS5/RPS11/RPS3A/MPHOSPH10/RPS13/RIOK1/WDR43/WDR75/UTP18/DIMT1/NOL7/RPS17/RPS16/SNU13/UTP11/RPS15A/RPS24/NOB1/HEATR1/WDR36/DHX37/UTP6/UTP25/NOM1/FBL/UTP20/NAT10/NOL10/RPS19/RCL1/NOL11/PNO1/NOL6/NOP56/TSR1/RRP7A/SURF6/EMG1/KRI1",49
"GO:0006417","regulation of translation","133/3131","461/18986",0.288503253796095,1.74944834767572,7.23896992267846,1.34141503787492e-11,1.18676904707991e-08,9.99303774080053e-09,"ZFP36L1/NPM1/PABPC1/DDX3X/EIF5A/ATF4/TOB1/PAIP2/PAIP1/RPS27L/ZNF706/PURB/CNOT8/SERBP1/METTL5/HNRNPU/HNRNPD/ZFP36/ENC1/IMPACT/NGRN/YBX3/MTIF2/CAPRIN1/GSPT1/METAP1/IFRD2/SYNCRIP/EIF4G3/RPS14/RBM4/IGF2BP3/CIRBP/GAPDH/SSB/ALKBH5/EIF6/LARP1B/ELP2/PRKCH/C1QBP/EIF4B/PKM/TNRC6C/METTL3/EIF5/NCL/DDX1/EIF3E/MTG1/NCBP2/RPL38/PRMT1/RIDA/MRPS27/ANG/DIO2/BANK1/BCL3/RPS6KA3/RBM3/DHX36/TRMT10C/ETF1/CASC3/RPL10/METTL8/XRN1/EIF2S1/DHX9/EIF2AK2/MKNK2/GCN1/RPL5/RACK1/WTIP/PUM2/TRAP1/PA2G4/TCOF1/EIF3K/IREB2/EIF2B4/NANOS2/OGT/MSI2/MAP3K20/SECISBP2/RPL13A/EIF4G1/PUM3/YTHDF1/RPS3/GTDC1/LSM14A/NOLC1/BZW2/GIGYF2/EEF2K/AKT2/WT1/EIF3D/LARP1/EEF2KMT/NAT10/ATXN2/AGO2/CELF1/LARP4B/PUS7/LRPPRC/YBX1/GEMIN5/TNRC6A/TARBP2/B3GNTL1/CTIF/NHLRC1/EIF4EBP1/APLP1/APP/STK35/RARA/LSM14B/SAMD4A/FXR2/EIF4H/DUS3L/PINK1/EIF4A3/PARP16/FAM86B1/MIR365A",133
"GO:0009117","nucleotide metabolic process","141/3131","500/18986",0.282,1.71001341424465,7.14979834624442,1.99746787297486e-11,1.54628981716667e-08,1.30203366351546e-08,"TP53I3/NADK2/LDHB/LIPA/RAN/PDE4D/SLC4A7/NTHL1/NDUFV2/DMAC2L/ATP5MC1/MTHFD1/PNP/LDHA/HIF1A/RBKS/HPRT1/RRM2/ATP1B1/ATP5MC2/HAAO/RFK/ADK/PPAT/GART/GAPDH/DERA/EIF6/MDH1/LACC1/PAICS/KYNU/ALDOA/UCKL1/PKM/NME2/PAPSS1/FLCN/DNM1L/DGUOK/NUDT4/PDE4B/ATIC/GPD2/ATP5F1A/INSR/PRPS1/PDE10A/PAPSS2/PRPSAP2/QPRT/APRT/GUCY2D/OLA1/ADA/AK3/SRC/ATP6V1A/CTPS1/CLPX/SLC25A13/AK5/STAT3/PC/ADPGK/ACACB/GIT1/TYMP/UNG/OGT/FOXK1/TALDO1/SPHK2/ADCY8/SLC25A25/ZBTB20/GARS1/NEIL2/FOXK2/PRKAG2/LRRK2/HDAC4/IDO2/UCK2/TDG/ABHD14B/ARL2/NAMPT/TKT/ME2/ADCY7/MDH2/PDE8A/PFKFB3/IGF1/NDUFAB1/NT5C2/CAD/RORA/RNASEH2B/PSEN1/NOCT/PGM1/SARM1/CNP/CD38/NME6/UPP1/NT5M/GMPS/AMPD2/GDA/DHODH/AK7/PFAS/NME1/ENO4/UCHL1/UMPS/NDUFA11/APP/ATP5MJ/RPTOR/ITPA/HK2/SULT2B1/RPEL1/PFKP/KCNAB2/NCOR1/KARS1/SLC2A6/ADSL/ADCY3/XDH/AFMID/PINK1/ADCY9/PARP16/ATP6V1B1/NT5C",141
"GO:0000956","nuclear-transcribed mRNA catabolic process","49/3131","124/18986",0.395161290322581,2.39620960014836,6.93156505386609,7.19893650362297e-10,4.95366819632634e-07,4.17117326771324e-07,"ZFP36L1/ZFP36L2/DDX5/PABPC1/TOB1/PAIP1/CNOT8/HNRNPU/HNRNPD/ZFP36/CAPRIN1/GSPT1/SYNCRIP/CNOT4/SSB/PDE12/TNRC6C/EIF3E/NCBP2/DHX34/DHX36/TENT4B/ETF1/CASC3/EDC4/MTPAP/DCPS/XRN1/MAGOHB/DHX9/SECISBP2/DCP1B/HNRNPAB/PAN3/SMG9/AGO2/XRN2/YBX1/NOCT/TNRC6A/EXOSC5/CTIF/TNKS1BP1/DIS3L2/EXOSC2/SAMD4A/TENT4A/DCP1A/EIF4A3",49
"GO:0022618","protein-RNA complex assembly","74/3131","225/18986",0.328888888888889,1.99434188580148,6.66749521641814,1.01242935114159e-09,6.26997497161989e-07,5.27955263742679e-07,"TAF12-DT/PTGES3/NOL3/RPS27L/LUC7L2/SRSF10/U2AF2/DDX42/NOP2/BRIX1/SNRPE/XRCC5/RPS14/RPS5/HSP90AA1/EIF6/SRSF1/NAF1/SNRPF/LUC7L3/EIF5/DDX1/HSP90AB1/USP39/HTATSF1/EIF3E/RPL38/SART3/GEMIN8/EIF3M/SF3B1/EIF3F/SNU13/SNRPB2/SFSWAP/NUFIP1/SNRPD1/DHX9/EIF2S3/RPL5/SCAF11/EIF3K/COIL/DENR/BOP1/EIF3A/RPL13A/SF3B3/PRPF6/ATR/EIF3D/DICER1/PRPF3/AGO2/RPS19/CLP1/ADAR/RUVBL1/CELF1/GEMIN5/DDX23/MDN1/GEMIN4/YJU2/TARBP2/SETX/SNRPB/NOPCHAP1/RRP7A/TXNL4A/LUC7L/NOP53/RNU6-1/CELF6",74
