X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSG_clean,SYMBOL
ENSG00000122644.13,82.38554173,-3.305633326,0.605636074,-5.45811828,4.81E-08,0.000127476,ENSG00000122644,ARL4A
ENSG00000185650.10,153.3130217,-3.043799129,0.561468221,-5.421142308,5.92E-08,0.000127476,ENSG00000185650,ZFP36L1
ENSG00000293025.1,55.39975706,-5.012069163,0.922088301,-5.435563122,5.46E-08,0.000127476,ENSG00000293025,LOC105371814
ENSG00000160888.7,57.42401909,-4.246918702,0.798019539,-5.321822955,1.03E-07,0.00016581,ENSG00000160888,IER2
ENSG00000253736.5,98.82534436,-3.178242979,0.599505965,-5.301436793,1.15E-07,0.000168629,ENSG00000253736,LOC105377730
ENSG00000168264.11,93.13693074,-3.155177421,0.600867448,-5.251037367,1.51E-07,0.000203481,ENSG00000168264,IRF2BP2
ENSG00000078401.7,54.55838866,-3.269085039,0.638816784,-5.117406305,3.10E-07,0.000296376,ENSG00000078401,EDN1
ENSG00000274015.3,57.53174477,-3.370565644,0.656839318,-5.131491906,2.87E-07,0.000296376,ENSG00000274015,LOC105370532
ENSG00000240006.2,44.02351436,-3.73136303,0.761050515,-4.902911119,9.44E-07,0.000534902,ENSG00000240006,LINC02004
ENSG00000178977.4,112.3176817,-3.305626938,0.680485426,-4.857748323,1.19E-06,0.000628461,ENSG00000178977,LINC00324
ENSG00000132640.15,85.89539187,-2.593036776,0.541862727,-4.785412701,1.71E-06,0.000790454,ENSG00000132640,BTBD3
ENSG00000126790.12,63.42778226,-2.790077533,0.600454964,-4.646605826,3.37E-06,0.001111799,ENSG00000126790,L3HYPDH
ENSG00000206190.13,221.6076304,2.228218203,0.480422264,4.638041093,3.52E-06,0.001147163,ENSG00000206190,ATP10A
ENSG00000250548.7,176.947601,-2.935933787,0.638442485,-4.598587746,4.25E-06,0.001308057,ENSG00000250548,LINC01303
ENSG00000286532.2,38.9923924,-3.49367111,0.760593736,-4.593347205,4.36E-06,0.001316282,ENSG00000286532,PARTICL
ENSG00000139289.15,104.90944,-2.440759563,0.531956807,-4.58826644,4.47E-06,0.001330981,ENSG00000139289,PHLDA1
ENSG00000180592.17,89.5330305,-2.369547645,0.518360986,-4.571230688,4.85E-06,0.001390277,ENSG00000180592,SKIDA1
ENSG00000229388.1,41.9641553,-3.437900697,0.75369115,-4.561418422,5.08E-06,0.001403483,ENSG00000229388,TAF12-DT
ENSG00000268996.3,56.34230625,-3.39637477,0.746172966,-4.551725838,5.32E-06,0.001419853,ENSG00000268996,MAN1B1-DT
ENSG00000259826.1,70.07181563,-3.02986585,0.672206602,-4.507343189,6.56E-06,0.001643095,ENSG00000259826,CDK13-DT
